Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Data;Ośrodek badawczy;Duda (PiS);Komorowski (bezp.);Kukiz (bezp.);Korwin-Mikke (KORWiN);Ogórek (SLD);Jarubas (PSL);Palikot (TR);Braun (bezp.);Kowalski (RN);Wilk (KNP);Tanajno (DB);Inni (razem);Niezdecydowani/Odmowa
Late poll;IPSOS;34.5;33.1;20.5;3.5;2.4;1.6;1.6;1.1;0.8;0.6;0.3;-;-
Exit poll;IPSOS;34.8;32.2;20.3;4.4;2.4;1.6;1.5;1.1;0.8;0.6;0.3;-;-
8.05;IBRiS;28.3;36.3;17.8;3.1;2.3;1.5;1.2;0.8;0.7;0.4;0.0;-;7.5
7.05;IBRiS;26.8;40.9;15.0;3.1;2.1;2.0;1.6;0.9;0.4;0.0;0.3;-;7.0
6-7.05;Estymator;29.0;40.0;16.0;4.0;3.0;4.0;2.0;1.0;1.0;-;-;-;-
6-7.05;TNS Polska;27.0;35.0;15.0;3.0;3.0;2.0;1.0;1.0;0.0;0.0;0.0;-;13.0
6-7.05;Millward Brown;27.0;39.0;13.0;5.0;4.0;2.0;3.0;1.0;0.0;0.0;0.0;-;3 (3)
6.05;IBRiS;29.0;39.7;14.3;4.2;2.4;3.2;1.7;0.8;0.7;0.0;0.1;-;4.0
3-7.05;ewybory.eu;27.0;32.8;20.9;8.0;3.0;0.9;2.2;1.9;2.1;0.7;0.5;-;-
27.04-3.05;PPG/DO;31.1;39.3;12.2;5.1;4.3;3.9;1.9;1.3;0.6;0.2;0.1;-;-
30.04;IBRiS;26.8;39.2;8.2;5.7;2.4;2.6;1.9;0.4;0.7;0.3;-;-;<12.0
28-29.04;TNS Polska;25.0;39.0;11.0;4.0;4.0;2.0;2.0;1.0;0.0;0.0;0.0;-;12.0
28.04;Millward Brown;27.0;42.0;9.0;5.0;3.0;1.0;2.0;1.0;1.0;0.0;0.0;-;4 (4)
24-25.04;IBRiS;29.0;42.3;7.1;3.9;3.0;1.7;1.1;0.4;0.7;0.2;0.2;-;10.4
23.04;IBRiS;29.0;42.0;7.4;3.5;2.6;1.1;1.4;0.4;0.7;0.3;0.0;-;11.4
14-27.04;ewybory.eu;31.5;40.56;10.38;5.71;5.45;1.21;3.11;0.51;1.38;0.16;0.03;-;-
16-22.04;CBOS;26.0;43.0;7.0;4.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;-;12.0
17-20.04;Ariadna;25.0;48.0;11.0;6.0;3.0;2.0;5.0;-;-;-;-;-;-
13-20.04;PPG/DO;29.8;41.5;8.4;6.6;6.1;4.3;2.1;0.5;0.4;0.2;0.1;-;-
16.04;IBRiS;27.2;41.8;8.2;4.0;3.0;2.2;2.7;0.4;0.5;0.1;0.0;-;9.9
14-16.04;Estymator;29.0;49.0;5.0;4.0;2.0;5.0;2.0;1.0;-;2.0;1.0;-;-
11-16.04;TNS Polska;26.0;41.0;5.0;3.0;5.0;3.0;1.0;-;-;-;-;-;16.0
13.04;Millward Brown;28.0;45.0;6.0;6.0;4.0;2.0;2.0;0.0;0.0;0.0;0.0;-;3 (3)
9-12.04;GfK;24.0;41.0;4.0;3.0;5.0;2.0;1.0;0.4;0.4;0.2;0.0;-;12 (7)
10-11.04;IBRiS;29.1;42.0;4.8;4.7;4.4;2.8;2.4;0.0;0.0;0.3;-;-;9.5
7-8.04;TNS Polska;24.0;46.0;6.0;4.0;3.0;1.0;2.0;1.0;-;-;-;-;13.0
7.04;IBRiS;30.6;40.4;3.6;3.9;4.6;3.8;2.7;0.7;0.4;0.0;0.0;-;9.3
bd.;PPG/DO;32.4;40.9;6.1;4.6;6.3;5.1;2.0;1.4;0.9;0.2;0.1;-;-
30.03;Millward Brown;26.0;42.0;4.0;6.0;7.0;2.0;3.0;0.0;1.0;0.0;0.0;-;5 (3)
27-28.03;IBRiS;26.6;40.7;3.3;4.8;4.9;5.1;2.7;0.4;0.4;-;-;-;11.1
16-18.03;Estymator;26.0;51.0;7.0;4.0;4.0;4.0;2.0;-;-;-;-;-;-
16.03;Millward Brown;31.0;46.0;5.0;4.0;4.0;1.0;4.0;-;1.0;-;-;1.0;2.0
13-18.03;TNS Polska;24.0;41.0;2.0;2.0;6.0;2.0;1.0;-;-;-;-;1.0;21.0
11-18.03;CBOS;20.0;48.0;2.0;4.0;2.0;1.0;1.0;-;0.0;-;-;-;21.0
12-16.03;GfK;23.0;48.0;1.0;2.0;3.0;2.0;1.0;0.3;0.6;0.0;0.0;1.0;15 (3)
13.03;IBRiS;26.0;46.0;1.0;3.0;5.0;4.0;3.0;-;-;-;-;-;12.0
10-11.03;TNS Polska;27.0;45.0;2.0;4.0;5.0;1.0;1.0;-;0.0;-;-;2.0;12.0
5-11.03;CBOS;19.0;52.0;2.0;1.0;3.0;1.0;2.0;-;0.0;-;-;2.0;18.0
4-7.03;ewybory.eu;33.9;43.5;3.0;4.1;5.5;1.1;5.0;0.0;0.8;0.1;0.0;3.0;-
2.03;Millward Brown;27.0;46.0;3.0;4.0;8.0;3.0;2.0;-;1.0;-;-;1.0;2 (1)
27.02-2.03;Ariadna;24.0;46.0;4.0;4.0;7.0;3.0;2.0;-;1.0;-;-;1.0;8.0
24.02-2.03;ewybory.eu;31.1;39.8;5.0;3.3;7.4;1.5;7.6;0.2;1.5;0.9;0.0;1.9;-
27.02;IBRiS;26.0;49.0;3.0;3.0;4.0;3.0;2.0;-;1.0;-;-;2.0;8.0
25-26.02;IPSOS;28.0;49.7;3.5;3.8;5.7;2.0;1.4;-;0.7;0.3;-;0.5;3.2
15-17.02;Estymator;25.0;51.0;5.0;3.0;8.0;4.0;2.0;0.0;0.0;-;-;1.0;-
16.02;Millward Brown;24.0;47.0;4.0;3.0;7.0;2.0;6.0;-;0.0;-;-;1.0;5 (2)
13-18.02;TNS Polska;17.0;47.0;1.0;1.0;6.0;4.0;1.0;0.0;0.0;-;-;1.0;22.0
12-16.02;GfK;20.0;52.0;3.0;2.0;4.0;2.0;2.0;0.0;0.0;0.0;0.0;-;14 (2)
7-10.02;Ariadna;18.0;57.0;-;6.0;10.0;2.0;4.0;-;3.0;-;-;-;-
5-11.02;CBOS;15.0;63.0;-;3.0;3.0;2.0;1.0;-;-;-;-;5.0;8.0
4-5.02;TNS Polska;19.0;53.0;-;2.0;5.0;2.0;2.0;-;1.0;-;-;5.0;11.0
1-3.02;ewybory.eu;28.5;48.2;-;4.2;7.5;0.6;8.2;0.3;0.3;-;-;2.2;-
25.01;Millward Brown;18.0;62.0;-;3.0;8.0;1.0;2.0;-;1.0;-;-;1.0;3 (2)
23-25.01;ewybory.eu;38.3;48.5;-;4.0;4.2;-;4.8;-;0.2;-;-;-;-
16-21.01;TNS Polska;12.0;52.0;-;3.0;5.0;-;2.0;-;0.0;-;-;3.0;24.0
16-20.01;Ariadna;21.0;48.0;-;6.0;8.0;1.0;5.0;-;1.0;-;-;9.0;-
15-18.01;GfK;14.0;55.0;-;3.0;4.0;-;2.0;-;-;-;-;-;20 (2)
16.01;IBRiS;25.0;56.0;-;3.0;6.0;-;1.0;-;0.0;-;-;9.0;-
12-13.01;TNS Polska;19.0;56.0;-;4.0;6.0;1.0;2.0;-;-;-;-;1.0;11.0
12.01;Millward Brown;21.0;65.0;-;3.0;6.0;-;1.0;-;-;-;-;1.0;2 (2)
10-13.01;ewybory.eu;38.6;47.1;-;5.5;3.1;-;5.0;-;0.7;-;-;-;-
