"Kod";"Nazwa";"ogółem;1998;[zł]";"ogółem;1999;[zł]";"ogółem;2000;[zł]";"ogółem;2001;[zł]";"ogółem;2002;[zł]";"ogółem;2003;[zł]";"ogółem;2004;[zł]";"ogółem;2005;[zł]";"ogółem;2006;[zł]";"ogółem;2007;[zł]";"ogółem;2008;[zł]";"ogółem;2009;[zł]";"ogółem;2010;[zł]";"ogółem;2011;[zł]";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2020;[zł]";"ogółem;2021;[zł]";"ogółem;2022;[zł]";"ogółem;2023;[zł]";"ogółem;2024;[zł]";
0200000;"DOLNOŚLĄSKIE";549,33;603,74;608,62;608,45;623,88;683,29;688,11;699,82;759,21;850,71;957,67;1013,17;1018,93;1057,49;1131,11;1125,12;1130,57;1178,66;1211,59;1222,07;1282,80;1382,62;1355,29;1560,59;1651,85;1849,29;;
0400000;"KUJAWSKO-POMORSKIE";440,82;475,92;540,19;572,60;593,50;619,14;621,38;602,66;674,26;736,34;798,05;875,59;923,63;922,75;941,69;992,12;987,60;1022,54;1050,48;1115,51;1149,82;1232,32;1168,59;1251,97;1481,05;1631,42;;
0600000;"LUBELSKIE";430,38;490,70;513,64;528,74;570,29;618,24;652,16;629,51;678,14;705,21;810,70;826,98;825,53;856,17;917,94;929,11;982,13;971,28;1029,45;1086,53;1085,66;1114,35;1132,57;1245,77;1399,56;1558,16;;
0800000;"LUBUSKIE";517,02;591,21;604,07;607,13;612,57;663,64;687,18;717,48;771,91;816,44;934,38;937,90;972,30;975,64;1006,52;1005,29;1051,49;1118,30;1161,65;1131,36;1143,84;1223,71;1157,30;1300,27;1389,74;1600,89;;
1000000;"ŁÓDZKIE";512,43;576,77;642,53;621,58;647,22;689,76;713,26;731,81;774,12;839,69;922,37;997,73;1035,64;1042,70;1083,25;1132,27;1118,97;1146,23;1205,71;1313,49;1232,33;1374,59;1225,52;1354,27;1616,20;1774,58;;
1200000;"MAŁOPOLSKIE";494,14;533,82;579,96;616,37;607,54;648,77;680,77;672,78;702,48;776,58;889,44;900,35;949,82;982,59;991,34;1019,77;1000,51;985,77;1040,73;1006,07;1017,42;1077,73;1041,52;1085,43;1263,21;1435,47;;
1400000;"MAZOWIECKIE";588,81;640,12;704,11;709,28;743,95;839,46;863,20;817,21;901,75;1010,26;1147,27;1233,28;1299,85;1308,35;1353,89;1331,00;1355,41;1370,71;1369,88;1420,70;1421,13;1476,26;1443,01;1508,28;1672,67;1849,11;;
1600000;"OPOLSKIE";520,16;555,21;582,09;612,15;604,70;684,03;727,49;777,65;762,12;846,06;1016,23;1016,33;1021,90;1048,57;1068,99;1072,97;1048,79;1102,99;1195,04;1236,71;1189,77;1332,12;1287,33;1367,03;1560,96;1699,17;;
1800000;"PODKARPACKIE";407,17;471,78;507,07;524,58;535,88;590,50;599,75;589,27;624,34;659,82;742,66;783,78;820,00;843,00;842,39;874,66;900,95;922,32;902,18;941,91;960,22;1015,69;930,94;1005,36;1162,28;1320,27;;
2000000;"PODLASKIE";462,82;483,63;536,22;576,59;590,55;616,58;615,00;650,06;708,62;737,46;802,83;823,56;850,56;903,42;941,84;917,63;978,15;1003,43;1020,30;1027,46;1066,10;1029,51;1020,37;1099,98;1285,05;1324,01;;
2200000;"POMORSKIE";487,49;521,01;621,69;622,36;665,49;701,08;721,55;697,11;785,06;863,82;916,80;977,11;999,05;1061,25;1068,38;1083,92;1094,90;1058,53;1178,44;1197,67;1288,99;1360,50;1328,72;1468,67;1558,42;1776,65;;
2400000;"ŚLĄSKIE";555,17;607,22;642,89;660,54;650,54;689,91;696,41;708,04;758,43;811,09;888,58;959,51;1005,93;1039,73;1101,52;1118,09;1129,50;1136,42;1202,37;1297,07;1288,63;1330,36;1270,85;1421,34;1526,79;1702,49;;
2600000;"ŚWIĘTOKRZYSKIE";435,21;471,82;516,98;537,54;540,88;595,64;581,37;579,50;612,06;682,38;746,54;792,07;831,70;848,58;874,80;922,48;969,83;903,17;963,17;1037,06;1075,11;1059,05;994,00;1076,50;1266,97;1457,42;;
2800000;"WARMIŃSKO-MAZURSKIE";435,70;473,02;541,71;538,57;549,85;598,13;590,68;605,48;644,12;710,20;809,32;872,50;866,15;870,30;877,23;883,48;922,62;904,91;964,26;981,43;981,86;1006,90;1073,42;1221,07;1319,36;1340,05;;
3000000;"WIELKOPOLSKIE";481,43;510,35;580,88;580,52;587,10;624,47;654,93;666,00;705,45;753,05;839,56;879,57;901,27;913,66;929,33;952,65;947,06;959,20;997,62;1051,38;1051,66;1162,82;1123,35;1248,43;1444,41;1597,97;;
3200000;"ZACHODNIOPOMORSKIE";531,81;574,79;605,21;606,31;637,65;693,03;703,81;672,36;758,17;799,41;873,54;940,20;964,94;972,04;1034,23;996,58;1066,19;1106,62;1110,56;1205,81;1236,53;1263,35;1242,53;1289,28;1498,65;1619,92;;
